public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,CAPEI_Median,divyield_Median,pe_exi_Median,pe_inc_Median,efftax_Median,aftret_invcapx_Median,gpm_Median,roa_Median,roe_Median,debt_invcap_Median,totdebt_invcap_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,intcov_ratio_Median,cash_ratio_Median,curr_ratio_Median
2010-08-31,Materials,193,-0.037770,-0.018321,0.131,14.053,2.01%,11.839,11.314,0.325,0.085,0.260,0.122,0.089,0.292,0.353,1.110,0.532,0.235,4.832,0.510,2.296
2010-08-31,Utilities,104,-0.004238,0.009764,0.616,16.049,4.29%,13.827,13.610,0.340,0.068,0.259,0.090,0.068,0.501,0.558,2.306,0.697,0.339,2.851,0.128,1.054
2010-09-30,Communication Services,49,0.122576,0.083985,0.281,8.581,6.24%,10.561,11.195,0.345,0.062,0.582,0.150,0.034,0.479,0.490,1.474,0.627,0.391,1.805,0.737,1.563
2010-09-30,Consumer Discretionary,583,0.132291,0.126502,0.000,12.587,2.00%,11.879,11.908,0.351,0.076,0.365,0.130,0.087,0.236,0.325,0.964,0.524,0.195,3.970,0.527,1.787
2010-09-30,Consumer Staples,171,0.063521,0.058812,0.156,16.172,2.69%,13.502,13.485,0.343,0.111,0.360,0.153,0.127,0.227,0.315,0.917,0.496,0.223,8.524,0.426,1.912
2010-09-30,Energy,222,0.135906,0.093383,0.000,9.170,1.14%,8.186,8.648,0.333,0.046,0.385,0.106,0.037,0.286,0.315,0.928,0.509,0.221,1.779,0.404,1.527
2010-09-30,Financials,754,0.055276,0.066129,0.422,11.733,2.44%,8.874,8.867,0.297,0.000,0.454,0.015,0.040,0.360,0.585,8.261,0.892,0.115,5.017,0.981,2.106
2010-09-30,Health Care,581,0.114329,0.097204,0.000,-2.064,1.84%,-1.274,-0.565,0.329,0.000,0.410,0.059,-0.006,0.032,0.112,0.541,0.399,0.079,2.384,1.689,2.879
2010-09-30,Industrials,559,0.109712,0.118670,0.047,16.012,1.70%,12.946,13.011,0.329,0.067,0.291,0.111,0.069,0.203,0.276,0.898,0.501,0.174,4.562,0.461,2.057
2010-09-30,Information Technology,715,0.154832,0.126443,0.000,13.105,1.68%,13.326,13.533,0.271,0.035,0.492,0.097,0.051,0.005,0.043,0.508,0.349,0.028,5.571,1.308,2.517
2010-09-30,Materials,194,0.103165,0.090594,0.123,16.005,1.93%,12.930,12.767,0.325,0.085,0.258,0.119,0.089,0.292,0.353,1.109,0.536,0.235,4.725,0.507,2.294
2010-09-30,Utilities,102,0.036948,0.032386,0.615,16.477,4.31%,14.513,14.148,0.338,0.068,0.259,0.090,0.069,0.501,0.563,2.328,0.699,0.339,2.851,0.128,1.053
2010-10-31,Communication Services,48,0.041006,0.010323,0.281,9.871,6.00%,12.012,12.664,0.345,0.066,0.581,0.152,0.035,0.479,0.490,1.439,0.623,0.391,1.835,0.781,1.613
2010-10-31,Consumer Discretionary,583,0.030835,0.051709,0.000,12.233,1.93%,12.254,12.241,0.351,0.077,0.365,0.130,0.087,0.231,0.320,0.973,0.523,0.193,3.954,0.525,1.789
2010-10-31,Consumer Staples,171,0.029548,0.030117,0.156,16.622,2.50%,13.391,13.391,0.343,0.111,0.360,0.153,0.127,0.227,0.315,0.917,0.496,0.223,8.524,0.425,1.912
2010-10-31,Energy,221,0.054113,0.049871,0.000,9.939,1.11%,8.904,9.201,0.333,0.046,0.388,0.107,0.038,0.285,0.315,0.926,0.509,0.221,1.782,0.407,1.527
2010-10-31,Financials,750,0.020048,0.014050,0.422,11.793,2.42%,9.100,9.092,0.297,0.000,0.454,0.015,0.040,0.361,0.584,8.291,0.892,0.115,5.369,0.934,2.184
2010-10-31,Health Care,579,0.028559,0.020318,0.000,-1.977,1.89%,-1.096,-0.651,0.329,0.000,0.411,0.060,-0.001,0.032,0.112,0.530,0.399,0.080,2.436,1.701,2.879
2010-10-31,Industrials,559,0.058712,0.034591,0.042,16.644,1.60%,14.298,14.008,0.329,0.067,0.291,0.111,0.069,0.200,0.274,0.898,0.501,0.170,4.604,0.461,2.055
2010-10-31,Information Technology,709,0.066239,0.063493,0.000,13.509,1.68%,13.829,14.198,0.270,0.037,0.495,0.097,0.053,0.007,0.044,0.510,0.348,0.028,5.677,1.349,2.523
2010-10-31,Materials,194,0.105621,0.082155,0.111,16.877,1.87%,13.441,13.277,0.323,0.086,0.256,0.118,0.090,0.292,0.351,1.109,0.540,0.235,4.995,0.507,2.326
2010-10-31,Utilities,102,0.021613,0.014999,0.615,16.955,4.23%,14.661,14.578,0.338,0.068,0.263,0.090,0.069,0.501,0.563,2.328,0.699,0.339,2.851,0.128,1.053
2010-11-30,Communication Services,49,0.027144,-0.014876,0.000,12.669,6.33%,13.188,13.188,0.345,0.064,0.580,0.155,0.034,0.502,0.534,1.488,0.621,0.390,1.853,0.811,1.644
